id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan
1054557,11150771,290 Bungarribee Road,Blacktown,2148,NSW,-33.775348,150.889232,house,700,2,2,2,true
2270383,11179706,1 Ida Place,Blacktown,2148,NSW,-33.766963,150.895881,house,560,2,2,2,true
2279371,11207541,102 Myrtle St,Prospect,2148,NSW,-33.795223,150.913874,house,557,1,1,1,true
2584645,11218763,13 Oulton Street,Prospect,2148,NSW,-33.793377,150.909010,house,557,2,2,3,true
4100493,11219498,34 Crudge Road,Marayong,2148,NSW,-33.750458,150.892870,house,,1,1,0,true
2598766,11240353,42 Rutherford Street,Blacktown,2148,NSW,-33.776856,150.891105,house,556,3,3,2,true
4069050,11265455,107/8C Myrtle Street,Prospect,2148,NSW,-33.796040,150.905930,unit,,1,1,1,true
68412,11326219,2a Balbeek Avenue,Blacktown,2148,NSW,-33.758902,150.888142,house,337,3,3,2,true
2863693,11370236,4 Lyte Place,Prospect,2148,NSW,-33.797223,150.915494,house,558,2,2,2,true
3900714,11371854,12 Joseph Street,Blacktown,2148,NSW,-33.779737,150.902996,house,695,1,1,2,true
4034126,11404123,37 Julie Street,Blacktown,2148,NSW,-33.785279,150.903067,house,556,2,2,2,true
3192569,11415170,54 Norman Street,Prospect,2148,NSW,-33.798603,150.910320,house,,3,3,2,false
68455,11422072,1 Nash Place,Blacktown,2148,NSW,-33.760611,150.894495,house,620,1,1,1,false
124441,11424728,27/37 SHEDWORTH STREET,Marayong,2148,NSW,-33.743424,150.895686,unit,,3,3,2,false
1618276,11483683,55 Kastelan Street,Blacktown,2148,NSW,-33.777043,150.886230,house,556,1,1,1,true
2088577,11518782,18 Sutton Street,Blacktown,2148,NSW,-33.780335,150.912379,house,556,1,1,1,true
1211599,11519495,14 Laker Street,Blacktown,2148,NSW,-33.782997,150.910326,house,613,1,1,6,true
1667208,11535517,9 Hunter Street,Blacktown,2148,NSW,-33.780184,150.882979,house,,3,3,3,true
68379,11560692,1 Stewart Avenue,Blacktown,2148,NSW,-33.759561,150.903819,house,556,3,3,3,true
68263,11571527,28 Bimbil St,Blacktown,2148,NSW,-33.766469,150.890367,house,1781,1,1,2,false
68277,11591811,43 Dunstable Road,Blacktown,2148,NSW,-33.757749,150.918610,house,676,1,1,2,true
1514379,11623101,5/22 Lancaster Street,Blacktown,2148,NSW,-33.769678,150.891819,unit,,1,1,2,true
1164258,11628387,8/9 Wallace Street,Blacktown,2148,NSW,-33.769254,150.913528,unit,,1,1,1,true
4091721,11633685,6 De Castella Drive,Blacktown,2148,NSW,-33.781398,150.879919,house,525,2,2,2,true
3984670,11641329,5B Ollier Crescent,Prospect,2148,NSW,-33.798336,150.910500,house,,1,1,2,false
2270382,11656504,51 Balmoral Street,Blacktown,2148,NSW,-33.775023,150.901763,house,1018,2,2,2,true
68346,11666934,5 Adella Avenue,Blacktown,2148,NSW,-33.768485,150.889460,house,,2,2,2,false
3964088,11699853,132B Walters Road,Blacktown,2148,NSW,-33.783055,150.893462,unit,,2,2,1,false
4072497,11766228,10 Craig Street,Blacktown,2148,NSW,-33.783420,150.898650,house,601,1,1,1,true
288666,11778621,203/8A MYRTLE STREET,Prospect,2148,NSW,-33.796041,150.905935,unit,,2,2,1,true
3587957,11786036,56 Ollier Crescent,Prospect,2148,NSW,-33.797325,150.906500,house,632,1,1,1,false
3465529,11808727,13/26 Clifton St,Blacktown,2148,NSW,-33.768600,150.913842,unit,,2,2,1,true
28726,11825056,91 Faulkland Crescent,Kings Park,2148,NSW,-33.741895,150.904517,house,559,1,1,2,true
1428931,11855876,7/22 Lancaster Street,Blacktown,2148,NSW,-33.769676,150.891820,unit,,1,1,1,true
222467,11875983,1A Cannon Street,Prospect,2148,NSW,-33.795267,150.920649,house,,1,1,3,true
222479,11909077,76 Norman Street,Prospect,2148,NSW,-33.798684,150.908264,house,570,2,2,2,true
3921524,11925596,10 Belrose Place,Prospect,2148,NSW,-33.797546,150.924480,house,737,2,2,2,true
4174422,11964468,43 Hadrian Avenue,Blacktown,2148,NSW,-33.788944,150.914720,house,,1,1,2,true
4063707,11985254,22 Faulkland Crescent,Kings Park,2148,NSW,-33.739690,150.907530,house,557,1,1,1,true
2872413,11993206,10 Burdett Crescent,Blacktown,2148,NSW,-33.769343,150.890578,house,531,3,3,1,true
4149185,11994170,17 Percy Street,Marayong,2148,NSW,-33.755115,150.898125,house,577,1,1,2,false
124456,12018986,47 Quakers Rd,Marayong,2148,NSW,-33.744950,150.894350,house,,3,3,2,false
1589377,12022876,315 Flushcombe Road,Blacktown,2148,NSW,-33.794650,150.904330,house,,2,2,1,false
68338,12036678,28A/177A Reservoir Rd,Blacktown,2148,NSW,-33.797414,150.899928,unit,,1,1,1,true
68516,12053918,14 Mort St,Blacktown,2148,NSW,-33.759155,150.918580,house,257,3,3,1,true
68404,12060983,26 Pank Parade,Blacktown,2148,NSW,-33.762360,150.890856,house,557,1,1,0,true
68333,12088671,34 Rutherford Street,Blacktown,2148,NSW,-33.776998,150.891828,house,556,1,1,3,false
4098157,12115268,22 Marcus Street,Kings Park,2148,NSW,-33.740315,150.903058,house,557,1,1,1,true
2734634,12150256,4 Patsy Place,Kings Park,2148,NSW,-33.737711,150.901914,house,557,1,1,4,true
68446,12175707,38 Ellerston Glade,Blacktown,2148,NSW,-33.761085,150.900916,house,,2,2,4,true
2135828,12220405,8 Dee Place,Prospect,2148,NSW,-33.800735,150.914859,house,389,1,1,0,true
124432,12237059,1 Nunga Place,Marayong,2148,NSW,-33.746825,150.889560,house,,1,1,1,false
2930384,12244677,17 Berg Street,Blacktown,2148,NSW,-33.788778,150.912764,house,569,2,2,1,true
124431,12293138,11 Daffodil Street,Marayong,2148,NSW,-33.748264,150.893659,house,,1,1,2,false
2572765,12296780,44 Dan Avenue,Blacktown,2148,NSW,-33.763872,150.894236,house,,1,1,1,false
2513621,12297255,1/44 Peter Street,Blacktown,2148,NSW,-33.764745,150.914005,unit,,2,2,1,true
570900,12397787,12 Hawkins Street,Blacktown,2148,NSW,-33.785130,150.918920,house,,1,1,1,true
1032913,12432797,5 Newman Street,Blacktown,2148,NSW,-33.774421,150.896587,house,305,2,2,2,true
4072495,12438382,56/7 Griffiths Street,Blacktown,2148,NSW,-33.773111,150.916262,unit,,1,1,1,true
28729,12444757,28 Wellesley Crescent,Kings Park,2148,NSW,-33.739504,150.915861,house,,1,1,2,true
329576,12446668,27 Upwey Street,Prospect,2148,NSW,-33.793498,150.906262,house,737,1,1,1,true
689227,12452317,203 Richmond Road,Marayong,2148,NSW,-33.752813,150.888760,land,,0,0,0,true
68537,12491954,179 Bungarribee Road,Blacktown,2148,NSW,-33.776070,150.899400,house,764,1,1,1,false
4072763,12496004,15 Shedworth Street,Marayong,2148,NSW,-33.742860,150.897580,house,556,1,1,2,true
4092212,12521324,43/13-19 Devitt Street,Blacktown,2148,NSW,-33.770923,150.915013,unit,,1,1,1,true
