,ID,Street_Name
324,222506,84-aldgate-street-Prospect-NSW-2148
325,51109,2-leven-place-Northmead-NSW-2152
326,4106470,25-teagan-place-Blacktown-NSW-2148
327,222459,20-bromfield-avenue-Prospect-NSW-2148
328,223736,1a-3-broughton-street-Parramatta-NSW-2150
329,754117,22-jones-street-Blacktown-NSW-2148
330,2991196,20a-vermont-court-Seven-Hills-NSW-2147
331,68301,51-burdett-crescent-Blacktown-NSW-2148
332,128464,5-54-the-crescent-Toongabbie-NSW-2146
333,223759,702-2-river-road-west-Parramatta-NSW-2150
334,4159318,55-pitt-street-Parramatta-NSW-2150
335,222508,24-watch-house-road-Prospect-NSW-2148
336,4077247,30-myuna-crescent-Seven-Hills-NSW-2147
337,1461780,18-ridgemont-place-Kings-Park-NSW-2148
338,68276,40-anthony-street-Blacktown-NSW-2148
339,4092489,17-love-street-Blacktown-NSW-2148
340,123974,48-plymouth-avenue-North-Rocks-NSW-2151
341,223831,908b-8-cowper-street-Parramatta-NSW-2150
342,4075577,4-balmoral-road-Northmead-NSW-2152
343,676710,13-paroo-place-Seven-Hills-NSW-2147
344,51088,12-kira-avenue-Northmead-NSW-2152
345,128516,84-86-aurelia-street-Toongabbie-NSW-2146
346,506177,3-12-bogan-place-Seven-Hills-NSW-2147
347,2146975,9-meckiff-avenue-North-Rocks-NSW-2151
348,3371259,45-woodbury-street-North-Rocks-NSW-2151
349,4124228,28-harwood-Seven-Hills-NSW-2147
350,124438,4-caratel-crescent-Marayong-NSW-2148
351,2926974,3-quakers-road-Marayong-NSW-2148
352,2917162,12-8-factory-street-North-Parramatta-NSW-2151
353,193734,2--44-bellevue-street-North-Parramatta-NSW-2151
354,222496,205-8b-myrtle-street-Prospect-NSW-2148
355,4132397,2-133-toongabbie-road-Toongabbie-NSW-2146
356,3879523,6-christine-crescent-Lalor-Park-NSW-2147
357,4118578,22-tucks-road-Toongabbie-NSW-2146
358,223877,5108-1a-morton-street-Parramatta-NSW-2150
359,1140656,19-eggleton-street-Blacktown-NSW-2148
360,3712864,5-thomas-kelly-crescent-Lalor-Park-NSW-2147
361,214307,8-burke-road-Lalor-Park-NSW-2147
362,657539,38-nathaniel-parade-Kings-Langley-NSW-2147
363,305431,19-kerry-road-Blacktown-NSW-2148
364,3480766,3-30-alice-street-Harris-Park-NSW-2150
365,4160876,190-bungarribee-road-Blacktown-NSW-2148
366,1879648,12-potter-street-Old-Toongabbie-NSW-2146
367,223850,2301-29-hunter-street-Parramatta-NSW-2150
368,123958,25-mill-drive-North-Rocks-NSW-2151
369,3767981,5-riviera-avenue-North-Rocks-NSW-2151
370,1849389,4-12-murray-street-Northmead-NSW-2152
371,4157056,53-janice-street-Seven-Hills-NSW-2147
372,710844,10-wilga-street-Blacktown-NSW-2148
373,818091,44-cornelia-road-Toongabbie-NSW-2146
374,3775820,20-john-dwyer-road-Lalor-Park-NSW-2147
375,657857,32-farmingdale-drive-Blacktown-NSW-2148
376,2319373,30-mitchell-street-Lalor-Park-NSW-2147
377,214287,4-shepherd-street-Lalor-Park-NSW-2147
378,1054544,27-39-patricia-street-Blacktown-NSW-2148
379,4171186,18-58-62-fitzwilliam-road-Old-Toongabbie-NSW-2146
380,223731,12-76-great-western-highway-Parramatta-NSW-2150
381,4175657,20-william-street-Seven-Hills-NSW-2147
382,3913818,16-albion-street-Harris-Park-NSW-2150
383,4091708,13-45-bungarribee-road-Blacktown-NSW-2148
384,828228,11-47-49-gladstone-street-North-Parramatta-NSW-2151
385,1837852,108b-8-cowper-street-Parramatta-NSW-2150
386,4108522,11b-baron-close-Kings-Langley-NSW-2147
387,1637599,5-159-161-windsor-road-Northmead-NSW-2152
388,216204,11-rudolf-road-Seven-Hills-NSW-2147
389,4090655,39-36-albert-street-North-Parramatta-NSW-2151
390,68496,15-stableford-street-Blacktown-NSW-2148
391,2855571,6-rifle-range-road-Northmead-NSW-2152
392,408149,3-27-31-windermere-avenue-Northmead-NSW-2152
393,2321864,72-joseph-street-Blacktown-NSW-2148
394,193717,28-39-ross-street-North-Parramatta-NSW-2151
395,4071299,92-bogalara-road-Toongabbie-NSW-2146
396,216245,1a-lucas-road-Seven-Hills-NSW-2147
397,3527704,118-crudge-road-Marayong-NSW-2148
398,3084946,42-5-griffiths-street-Blacktown-NSW-2148
399,1536172,9-41-doonside-crescent-Blacktown-NSW-2148
400,68429,83-doonside-crescent-Blacktown-NSW-2148
401,214310,9-blaxland-street-Lalor-Park-NSW-2147
402,3192349,602-2-river-road-west-Parramatta-NSW-2150
403,1041592,5-nile-avenue-Seven-Hills-NSW-2147
404,1199393,53-9-11-cowper-street-Parramatta-NSW-2150
405,3744231,3208-1a-morton-street-Parramatta-NSW-2150
406,37151,95-solander-road-Kings-Langley-NSW-2147
407,1326497,4-43-lyton-street-Blacktown-NSW-2148
408,4163610,23-templar-street-Blacktown-NSW-2148
409,3969074,16-carole-street-Seven-Hills-NSW-2147
410,4122064,18-43-campbell-street-Parramatta-NSW-2150
411,2964239,42-zambesi-road-Seven-Hills-NSW-2147
412,4129505,39-koorabel-road-Lalor-Park-NSW-2147
413,2594429,21-13-castle-street-North-Parramatta-NSW-2151
414,51099,4-1-3-howard-avenue-Northmead-NSW-2152
415,458441,25-geneva-crescent-Seven-Hills-NSW-2147
416,3519943,1127-45-macquarie-street-Parramatta-NSW-2150
417,4091722,69-putters-circuit-Blacktown-NSW-2148
418,3290566,5-9-13-valeria-street-Toongabbie-NSW-2146
419,4149470,17-hugh-place-Kings-Langley-NSW-2147
420,68447,6-11-13-fourth-avenue-Blacktown-NSW-2148
421,4162827,7-lombard-place-Prospect-NSW-2148
422,502843,2-hadrian-avenue-Blacktown-NSW-2148
423,223734,81-3-sorrell-street-Parramatta-NSW-2150
424,845500,4-second-avenue-Toongabbie-NSW-2146
