id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,floorplan
868688,10438804,19 McClean Street,Blacktown,2148,NSW,-33.758447,150.886863,house,,TRUE
890748,82641,108A Douglas Road,Blacktown,2148,NSW,-33.781316,150.880683,house,,FALSE
893166,12558780,7 The Crescent,Marayong,2148,NSW,-33.745744,150.897614,house,556,FALSE
912534,13588129,75 Highpoint Drive,Blacktown,2148,NSW,-33.791331,150.895124,unit,,FALSE
974894,7354905,14 Garden Street,Blacktown,2148,NSW,-33.752313,150.922172,house,462,TRUE
974895,2244668,44 Derwent Parade,Blacktown,2148,NSW,-33.778294,150.88947,house,1252,FALSE
974896,6351377,19 Shirley Street,Blacktown,2148,NSW,-33.76893,150.917442,house,556,FALSE
1003057,6248421,15 Noel Street,Marayong,2148,NSW,-33.756096,150.899512,house,556,TRUE
1008270,13202912,1 Nicholas Street,Blacktown,2148,NSW,-33.778187,150.901808,house,556,TRUE
1032913,12432797,5 Newman Street,Blacktown,2148,NSW,-33.774421,150.896587,house,305,TRUE
1032914,5886681,9 Anthony Street,Blacktown,2148,NSW,-33.749578,150.917312,house,,FALSE
1032916,1346246,24/2 Bruce Street,Blacktown,2148,NSW,-33.770127,150.916067,unit,,FALSE
1054544,3551605,27/39 Patricia Street,Blacktown,2148,NSW,-33.793624,150.904127,unit,,FALSE
1054547,7483232,4 Maud Street,Blacktown,2148,NSW,-33.78686,150.90927,house,556,FALSE
1054556,8950121,37A/177A Reservoir Road,Blacktown,2148,NSW,-33.797413,150.89993,unit,,TRUE
1054557,11150771,290 Bungarribee Road,Blacktown,2148,NSW,-33.775348,150.889232,house,700,TRUE
1054571,7528672,22 Anne St,Blacktown,2148,NSW,-33.780163,150.89667,house,556,FALSE
1088934,5106418,9 De Castella Drive,Blacktown,2148,NSW,-33.78143,150.88041,house,403,TRUE
1088935,6374503,73 Aliberti Drive,Blacktown,2148,NSW,-33.787308,150.887256,house,450,TRUE
1109509,9501660,91 Kastelan Street,Blacktown,2148,NSW,-33.778236,150.88841,house,602,TRUE
1121352,5301480,12 Old Church Lane,Prospect,2148,NSW,-33.794946,150.920291,house,339,TRUE
1140656,3318829,19 Eggleton Street,Blacktown,2148,NSW,-33.748739,150.920489,house,889,TRUE
1140658,7106495,1B Oregon Street,Blacktown,2148,NSW,-33.766905,150.890467,house,574,TRUE
1140659,8315504,37/39 Patricia St,Blacktown,2148,NSW,-33.793624,150.904127,unit,,TRUE
1140684,13080485,320 Bungarribee Road,Blacktown,2148,NSW,-33.774975,150.886698,house,556,TRUE
1140716,5160518,315 Bungarribee Rd,Blacktown,2148,NSW,-33.774071,150.884183,house,552,TRUE
1141710,9817304,73 Cobham Street,Kings Park,2148,NSW,-33.740527,150.902481,house,916,FALSE
1153625,10670582,29 Harrod Street,Prospect,2148,NSW,-33.797821,150.914003,house,558,TRUE
1164235,13197273,15 Archer Street,Blacktown,2148,NSW,-33.784513,150.897582,house,626,TRUE
1164237,13568771,20/21-29 Third Avenue,Blacktown,2148,NSW,-33.765007,150.91013,unit,,TRUE
1164238,8266770,4/28 Patrick Street,Blacktown,2148,NSW,-33.77169,150.9063,unit,,TRUE
1164257,10497876,45/13-19 Devitt Street,Blacktown,2148,NSW,-33.770924,150.91501,unit,,TRUE
1164258,11628387,8/9 Wallace Street,Blacktown,2148,NSW,-33.769254,150.913528,unit,,TRUE
1166859,8405433,237 Madagascar Drive,Kings Park,2148,NSW,-33.742095,150.913111,house,,TRUE
1188571,13590326,35 Dunstable Road,Blacktown,2148,NSW,-33.757664,150.917959,house,676,TRUE
1188589,8037168,15 Braddon Street,Blacktown,2148,NSW,-33.780379,150.887998,house,752,TRUE
1188608,5112022,69 PENDANT AVENUE,Blacktown,2148,NSW,-33.785206,150.913835,house,613,TRUE
1211599,11519495,14 Laker Street,Blacktown,2148,NSW,-33.782997,150.910326,house,613,TRUE
1233297,2798247,6 Burrell Parade,Blacktown,2148,NSW,-33.77895,150.88838,house,550,FALSE
1271390,10370170,54 Killarney Avenue,Blacktown,2148,NSW,-33.770358,150.889324,house,581,FALSE
1298822,4242027,31 Western Crescent,Blacktown,2148,NSW,-33.781003,150.898284,house,,TRUE
1326497,3859570,4/43 Lyton Street,Blacktown,2148,NSW,-33.761491,150.894215,unit,,TRUE
1326498,10343065,37/42 Patricia Street,Blacktown,2148,NSW,-33.793391,150.902338,house,,FALSE
1352561,3043492,12/9-13 Griffiths Street,Blacktown,2148,NSW,-33.772658,150.915743,unit,170,TRUE
1352562,7308300,25/45 Bungarribee Road,Blacktown,2148,NSW,-33.77764,150.9184,unit,,TRUE
1428931,11855876,7/22 Lancaster Street,Blacktown,2148,NSW,-33.769676,150.89182,unit,,TRUE
1428932,4951891,5/130 Aliberti Drive,Blacktown,2148,NSW,-33.788679,150.889375,unit,,TRUE
1444080,12675641,29/1 Myrtle Street,Prospect,2148,NSW,-33.794528,150.905258,unit,,TRUE
1456722,8283171,139 Richmond Road,Marayong,2148,NSW,-33.75696,150.894346,house,689,FALSE
1456723,6199710,14 Noora Place,Marayong,2148,NSW,-33.739963,150.897015,house,,FALSE
1458195,13541763,55 William Street,Blacktown,2148,NSW,-33.764247,150.896076,house,604,TRUE
1458197,7970226,29/26 Clifton Street,Blacktown,2148,NSW,-33.7686,150.913842,unit,119,TRUE
1458240,4824791,3/59-61 Balmoral Street,Blacktown,2148,NSW,-33.77625,150.90242,unit,,TRUE
1461780,3160313,18 Ridgemont Place,Kings Park,2148,NSW,-33.738937,150.90964,house,730,TRUE
1514362,12604613,4 Kurrajong Crescent,Blacktown,2148,NSW,-33.788937,150.899479,house,556,TRUE
1514379,11623101,5/22 Lancaster Street,Blacktown,2148,NSW,-33.769678,150.891819,unit,,TRUE
