,a
236,"1326498,37-42-patricia-street-Blacktown-NSW-2148"
237,"1352561,12-9-13-griffiths-street-Blacktown-NSW-2148"
238,"1352562,25-45-bungarribee-road-Blacktown-NSW-2148"
239,"1428931,7-22-lancaster-street-Blacktown-NSW-2148"
240,"1428932,5-130-aliberti-drive-Blacktown-NSW-2148"
241,"1444080,29-1-myrtle-street-Prospect-NSW-2148"
242,"1456722,139-richmond-road-Marayong-NSW-2148"
243,"1456723,14-noora-place-Marayong-NSW-2148"
244,"1458195,55-william-street-Blacktown-NSW-2148"
245,"1458197,29-26-clifton-street-Blacktown-NSW-2148"
246,"1458240,3-59-61-balmoral-street-Blacktown-NSW-2148"
247,"1461780,18-ridgemont-place-Kings-Park-NSW-2148"
248,"1514362,4-kurrajong-crescent-Blacktown-NSW-2148"
249,"1514379,5-22-lancaster-street-Blacktown-NSW-2148"
250,"1536172,9-41-doonside-crescent-Blacktown-NSW-2148"
251,"1568828,29-mcclean-street-Blacktown-NSW-2148"
252,"1589377,315-flushcombe-road-Blacktown-NSW-2148"
253,"1617167,25-blackett-street-Kings-Park-NSW-2148"
254,"1618273,25-panorama-parade-Blacktown-NSW-2148"
255,"1618274,7-kastelan-street-Blacktown-NSW-2148"
256,"1618276,55-kastelan-street-Blacktown-NSW-2148"
257,"1645342,12-elanora-avenue-Blacktown-NSW-2148"
258,"1663418,115-davis-road-Marayong-NSW-2148"
259,"1667208,9-hunter-street-Blacktown-NSW-2148"
260,"1667209,32-burrell-parade-Blacktown-NSW-2148"
261,"1692247,4-cansdale-street-Blacktown-NSW-2148"
262,"1712946,194-madagascar-drive-Kings-Park-NSW-2148"
263,"1745505,11-bedford-road-Blacktown-NSW-2148"
264,"1778398,63-130-main-street-Blacktown-NSW-2148"
265,"1778399,163b-kildare-road-Blacktown-NSW-2148"
266,"1778419,11-21-29-third-avenue-Blacktown-NSW-2148"
267,"1778435,4-glamorgan-street-Blacktown-NSW-2148"
268,"1801192,20-palona-street-Marayong-NSW-2148"
269,"1805516,92-valda-street-Blacktown-NSW-2148"
270,"1805518,33-duckmallois-avenue-Blacktown-NSW-2148"
271,"1828727,3-alam-street-Blacktown-NSW-2148"
272,"1828729,10-sutton-street-Blacktown-NSW-2148"
273,"1828730,103-1-griffiths-street-Blacktown-NSW-2148"
274,"1828747,62-130-main-street-Blacktown-NSW-2148"
275,"1850470,63-nairana-drive-Marayong-NSW-2148"
276,"1852671,51-45-bungarribee-road-Blacktown-NSW-2148"
277,"1852681,2-56-irelands-road-Blacktown-NSW-2148"
278,"1874642,6-marana-street-Blacktown-NSW-2148"
279,"1908515,51-130-main-street-Blacktown-NSW-2148"
280,"1937016,32-oulton-street-Prospect-NSW-2148"
281,"1941343,57-177-reservoir-road-Blacktown-NSW-2148"
282,"1941345,15-wattle-street-Blacktown-NSW-2148"
283,"1941346,44-duckmallois-avenue-Blacktown-NSW-2148"
284,"1970891,3-pollack-street-Blacktown-NSW-2148"
285,"1970916,1-charles-street-Blacktown-NSW-2148"
286,"1997408,7-leslie-street-Blacktown-NSW-2148"
287,"1997409,5-sarsfield-street-Blacktown-NSW-2148"
288,"1997426,30-39-patricia-street-Blacktown-NSW-2148"
289,"2021528,81b-newton-road-Blacktown-NSW-2148"
290,"2043060,8-frederick-street-Blacktown-NSW-2148"
291,"2082110,16--bermuda-place-Kings-Park-NSW-2148"
292,"2088577,18-sutton-street-Blacktown-NSW-2148"
293,"2088578,32-7-griffiths-street-Blacktown-NSW-2148"
294,"2088604,36-177-reservoir-road-Blacktown-NSW-2148"
295,"2121591,112-quakers-road-Marayong-NSW-2148"
296,"2121595,33-daraya-road-Marayong-NSW-2148"
297,"2126417,200-blacktown-road-Blacktown-NSW-2148"
298,"2126419,8-andre-place-Blacktown-NSW-2148"
299,"2126420,51a-doonside-crescent-Blacktown-NSW-2148"
300,"2135828,8-dee-place-Prospect-NSW-2148"
301,"2147002,2-bridge-view-street-Blacktown-NSW-2148"
302,"2177052,83-turner-street-Blacktown-NSW-2148"
303,"2234355,22-malcolm-street-Blacktown-NSW-2148"
304,"2234358,32-5-griffiths-street-Blacktown-NSW-2148"
305,"2234385,5-hilltop-avenue-Blacktown-NSW-2148"
306,"2258059,136-donohue-street-Kings-Park-NSW-2148"
307,"2270382,51-balmoral-street-Blacktown-NSW-2148"
308,"2270383,1-ida-place-Blacktown-NSW-2148"
309,"2270384,9-frederick-street-Blacktown-NSW-2148"
310,"2270386,3-86-eggleton-street-Blacktown-NSW-2148"
311,"2270428,7-25-27-fourth----avenue-Blacktown-NSW-2148"
312,"2279371,102-myrtle-street-Prospect-NSW-2148"
313,"2296190,17-kent-street-Blacktown-NSW-2148"
314,"2296191,24-162-walters-road-Blacktown-NSW-2148"
315,"2296192,175b-flushcombe-road-Blacktown-NSW-2148"
316,"2296193,3-charles-street-Blacktown-NSW-2148"
317,"2313933,15-quakers-road-Marayong-NSW-2148"
318,"2321864,72-joseph-street-Blacktown-NSW-2148"
319,"2321865,69-harold-street-Blacktown-NSW-2148"
